A1,A2,A3,A4,A5
Chamber,Jett,Sage,Sova,Viper
Chamber,KAY/O,Sage,Sova,Viper
Chamber,Jett,KAY/O,Sova,Viper
Jett,Killjoy,Sage,Sova,Viper
Jett,KAY/O,Sage,Sova,Viper
Chamber,Raze,Sage,Sova,Viper
Chamber,Killjoy,Sage,Sova,Viper
Chamber,Reyna,Sage,Sova,Viper
Chamber,Jett,Omen,Sova,Viper
Chamber,Omen,Raze,Sova,Viper
Chamber,Omen,Reyna,Sova,Viper
Chamber,Omen,Sage,Sova,Viper
Chamber,Raze,Reyna,Sova,Viper
Jett,Reyna,Sage,Sova,Viper
Chamber,Fade,Raze,Sage,Viper
Chamber,KAY/O,Reyna,Sova,Viper
Killjoy,Raze,Sage,Sova,Viper
Chamber,Jett,KAY/O,Omen,Sova
Chamber,Jett,Reyna,Sova,Viper
Chamber,KAY/O,Omen,Reyna,Sova
Cypher,Jett,Sage,Sova,Viper
Jett,KAY/O,Killjoy,Sova,Viper
KAY/O,Reyna,Sage,Sova,Viper
Chamber,Neon,Omen,Sova,Viper
Chamber,Jett,Killjoy,Sova,Viper
Chamber,Fade,Omen,Raze,Sova
Chamber,Fade,KAY/O,Sage,Viper
Jett,Killjoy,Reyna,Sova,Viper
Jett,KAY/O,Killjoy,Omen,Sova
Chamber,Killjoy,Omen,Sage,Sova
Brimstone,Chamber,Raze,Sova,Viper
Chamber,KAY/O,Omen,Sova,Viper
Jett,Killjoy,Omen,Sova,Viper
