A1,A2,A3,A4,A5
Brimstone,Chamber,Raze,Skye,Viper
Brimstone,Chamber,Raze,Sage,Skye
Breach,Brimstone,Chamber,Raze,Sova
Brimstone,Chamber,Raze,Skye,Sova
Brimstone,Raze,Sage,Skye,Viper
Brimstone,Raze,Skye,Sova,Viper
Astra,Raze,Sage,Skye,Viper
Brimstone,Chamber,Raze,Sova,Viper
Jett,Omen,Skye,Sova,Viper
Astra,Breach,Chamber,Neon,Raze
Astra,Chamber,Raze,Skye,Viper
Breach,Brimstone,Chamber,Raze,Skye
Brimstone,Raze,Sage,Skye,Sova
Astra,Breach,Chamber,Raze,Skye
Breach,Brimstone,Raze,Sage,Sova
Brimstone,Chamber,Jett,Raze,Sova
Brimstone,Chamber,Raze,Sage,Sova
Chamber,Omen,Raze,Sage,Skye
Chamber,Omen,Raze,Sage,Sova
Chamber,Omen,Raze,Skye,Sova
Chamber,Omen,Raze,Skye,Viper
Astra,Chamber,Raze,Skye,Sova
Astra,Chamber,Raze,Sova,Viper
Astra,Raze,Skye,Sova,Viper
Breach,Brimstone,Cypher,Raze,Sova
Breach,Chamber,Omen,Raze,Skye
Brimstone,Chamber,Jett,Raze,Skye
Brimstone,Chamber,Neon,Raze,Skye
Brimstone,Chamber,Raze,Sage,Viper
Brimstone,Chamber,Raze,Skye,Yoru
Brimstone,Killjoy,Raze,Skye,Viper
KAY/O,Omen,Raze,Skye,Viper
Neon,Omen,Reyna,Sage,Skye
Astra,Breach,Chamber,Jett,Sova
Astra,Breach,Chamber,Neon,Skye
Astra,Chamber,Jett,Raze,Sova
Astra,Jett,Raze,Skye,Sova
Breach,Brimstone,Chamber,Fade,Raze
Breach,Chamber,Omen,Raze,Sova
Breach,Cypher,Jett,Omen,Sova
Brimstone,Chamber,Fade,Sage,Skye
Brimstone,Chamber,Raze,Reyna,Sova
Brimstone,Cypher,Raze,Skye,Sova
Brimstone,Cypher,Raze,Skye,Yoru
Brimstone,Cypher,Raze,Sova,Yoru
Brimstone,KAY/O,Raze,Sage,Viper
Brimstone,Raze,Sage,Skye,Yoru
Brimstone,Raze,Skye,Sova,Yoru
Chamber,Jett,Omen,Skye,Sova
Chamber,Jett,Omen,Sova,Yoru
Chamber,KAY/O,Omen,Raze,Sova
Killjoy,Omen,Raze,Sage,Sova
Brimstone,Raze,Reyna,Sage,Skye
Astra,Breach,Raze,Sage,Sova
Astra,Brimstone,Chamber,Raze,Skye
Astra,Chamber,Raze,Sage,Skye
Brimstone,Chamber,Sage,Skye,Yoru
Breach,Jett,Killjoy,Omen,Sova
Brimstone,Chamber,Raze,Sova,Yoru
Brimstone,Chamber,KAY/O,Raze,Sova
Brimstone,Chamber,Neon,Skye,Sova
Brimstone,Chamber,Fade,Raze,Skye
Brimstone,Chamber,Neon,Raze,Sova
Brimstone,Cypher,Fade,Raze,Skye
Brimstone,Neon,Raze,Sage,Viper
Brimstone,Cypher,Raze,Skye,Viper
Brimstone,Chamber,Jett,Skye,Viper
Breach,Brimstone,Cypher,Raze,Skye
Breach,Brimstone,Raze,Skye,Yoru
Breach,Brimstone,KAY/O,Raze,Sage
Killjoy,Omen,Reyna,Skye,Viper
Brimstone,Jett,Killjoy,Raze,Sova
Brimstone,Killjoy,Reyna,Sage,Sova
Brimstone,Jett,Killjoy,Skye,Sova
Astra,Breach,Chamber,Raze,Reyna
Astra,Breach,Raze,Sova,Viper
Chamber,Cypher,Omen,Raze,Sova
Breach,Brimstone,Jett,Sage,Skye
Breach,Brimstone,Chamber,KAY/O,Neon
Astra,Chamber,Raze,Sage,Sova
Brimstone,Chamber,Fade,KAY/O,Raze
