A1,A2,A3,A4,A5
Chamber,Jett,KAY/O,Sova,Viper
Chamber,Jett,Skye,Sova,Viper
Cypher,Jett,KAY/O,Sova,Viper
Chamber,Jett,Reyna,Sova,Viper
Chamber,KAY/O,Neon,Sova,Viper
Cypher,Jett,Skye,Sova,Viper
Astra,Chamber,KAY/O,Sova,Viper
Brimstone,Jett,KAY/O,Sova,Viper
Chamber,Neon,Skye,Sova,Viper
Chamber,Cypher,KAY/O,Sova,Viper
Chamber,Cypher,Skye,Sova,Viper
Astra,Chamber,Jett,Sova,Viper
Astra,Chamber,Skye,Sova,Viper
Brimstone,Chamber,Jett,Reyna,Sova
Chamber,Jett,Sage,Sova,Viper
Chamber,KAY/O,Neon,Skye,Viper
Chamber,KAY/O,Sova,Viper,Yoru
Chamber,Neon,Reyna,Sova,Viper
Cypher,Jett,Reyna,Sova,Viper
Cypher,KAY/O,Neon,Sova,Viper
Chamber,Neon,Sage,Viper,Yoru
Fade,Jett,Neon,Sova,Viper
Breach,Chamber,Omen,Sova,Viper
Chamber,KAY/O,Reyna,Sova,Viper
Brimstone,Neon,Skye,Sova,Viper
Breach,Chamber,Neon,Skye,Viper
Chamber,KAY/O,Phoenix,Sova,Viper
Astra,Chamber,Reyna,Sova,Viper
